InvoiceDate,InvoiceNo,StockCode,Description,Quantity,UnitPrice,CustomerID,Country,Year,Month,Day,Hour,TotalAmount
2010-12-01 08:26:00,536365,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2.55,17850,United Kingdom,2010,12,1,8,15.3
2010-12-01 08:26:00,536365,71053,WHITE METAL LANTERN,6,3.39,17850,United Kingdom,2010,12,1,8,20.34
2010-12-01 08:26:00,536365,84406B,CREAM CUPID HEARTS COAT HANGER,8,2.75,17850,United Kingdom,2010,12,1,8,22.0
2010-12-01 08:26:00,536365,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,3.39,17850,United Kingdom,2010,12,1,8,20.34
2010-12-01 08:26:00,536365,84029E,RED WOOLLY HOTTIE WHITE HEART.,6,3.39,17850,United Kingdom,2010,12,1,8,20.34
2010-12-01 08:26:00,536365,22752,SET 7 BABUSHKA NESTING BOXES,2,7.65,17850,United Kingdom,2010,12,1,8,15.3
2010-12-01 08:26:00,536365,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,4.25,17850,United Kingdom,2010,12,1,8,25.5
2010-12-01 08:28:00,536366,22633,HAND WARMER UNION JACK,6,1.85,17850,United Kingdom,2010,12,1,8,11.1
2010-12-01 08:28:00,536366,22632,HAND WARMER RED POLKA DOT,6,1.85,17850,United Kingdom,2010,12,1,8,11.1
2010-12-01 08:34:00,536367,84879,ASSORTED COLOUR BIRD ORNAMENT,32,1.69,13047,United Kingdom,2010,12,1,8,54.08
2010-12-01 08:34:00,536367,22745,POPPY'S PLAYHOUSE BEDROOM ,6,2.1,13047,United Kingdom,2010,12,1,8,12.6
2010-12-01 08:34:00,536367,22748,POPPY'S PLAYHOUSE KITCHEN,6,2.1,13047,United Kingdom,2010,12,1,8,12.6
2010-12-01 08:34:00,536367,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,8,3.75,13047,United Kingdom,2010,12,1,8,30.0
2010-12-01 08:34:00,536367,22310,IVORY KNITTED MUG COSY ,6,1.65,13047,United Kingdom,2010,12,1,8,9.9
2010-12-01 08:34:00,536367,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,6,4.25,13047,United Kingdom,2010,12,1,8,25.5
2010-12-01 08:34:00,536367,22623,BOX OF VINTAGE JIGSAW BLOCKS ,3,4.95,13047,United Kingdom,2010,12,1,8,14.85
2010-12-01 08:34:00,536367,22622,BOX OF VINTAGE ALPHABET BLOCKS,2,9.95,13047,United Kingdom,2010,12,1,8,19.9
2010-12-01 08:34:00,536367,21754,HOME BUILDING BLOCK WORD,3,5.95,13047,United Kingdom,2010,12,1,8,17.85
2010-12-01 08:34:00,536367,21755,LOVE BUILDING BLOCK WORD,3,5.95,13047,United Kingdom,2010,12,1,8,17.85
2010-12-01 08:34:00,536367,21777,RECIPE BOX WITH METAL HEART,4,7.95,13047,United Kingdom,2010,12,1,8,31.8
2010-12-01 08:34:00,536367,48187,DOORMAT NEW ENGLAND,4,7.95,13047,United Kingdom,2010,12,1,8,31.8
2010-12-01 08:34:00,536368,22960,JAM MAKING SET WITH JARS,6,4.25,13047,United Kingdom,2010,12,1,8,25.5
2010-12-01 08:34:00,536368,22913,RED COAT RACK PARIS FASHION,3,4.95,13047,United Kingdom,2010,12,1,8,14.85
2010-12-01 08:34:00,536368,22912,YELLOW COAT RACK PARIS FASHION,3,4.95,13047,United Kingdom,2010,12,1,8,14.85
2010-12-01 08:34:00,536368,22914,BLUE COAT RACK PARIS FASHION,3,4.95,13047,United Kingdom,2010,12,1,8,14.85
2010-12-01 08:35:00,536369,21756,BATH BUILDING BLOCK WORD,3,5.95,13047,United Kingdom,2010,12,1,8,17.85
2010-12-01 09:00:00,536371,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,80,2.55,13748,United Kingdom,2010,12,1,9,204.0
2010-12-01 09:01:00,536372,22632,HAND WARMER RED POLKA DOT,6,1.85,17850,United Kingdom,2010,12,1,9,11.1
2010-12-01 09:01:00,536372,22633,HAND WARMER UNION JACK,6,1.85,17850,United Kingdom,2010,12,1,9,11.1
2010-12-01 09:02:00,536373,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2.55,17850,United Kingdom,2010,12,1,9,15.3
2010-12-01 09:02:00,536373,71053,WHITE METAL LANTERN,6,3.39,17850,United Kingdom,2010,12,1,9,20.34
2010-12-01 09:02:00,536373,84406B,CREAM CUPID HEARTS COAT HANGER,8,2.75,17850,United Kingdom,2010,12,1,9,22.0
2010-12-01 09:02:00,536373,20679,EDWARDIAN PARASOL RED,6,4.95,17850,United Kingdom,2010,12,1,9,29.7
2010-12-01 09:02:00,536373,37370,RETRO COFFEE MUGS ASSORTED,6,1.06,17850,United Kingdom,2010,12,1,9,6.36
2010-12-01 09:02:00,536373,21871,SAVE THE PLANET MUG,6,1.06,17850,United Kingdom,2010,12,1,9,6.36
2010-12-01 09:02:00,536373,21071,VINTAGE BILLBOARD DRINK ME MUG,6,1.06,17850,United Kingdom,2010,12,1,9,6.36
2010-12-01 09:02:00,536373,21068,VINTAGE BILLBOARD LOVE/HATE MUG,6,1.06,17850,United Kingdom,2010,12,1,9,6.36
2010-12-01 09:02:00,536373,82483,WOOD 2 DRAWER CABINET WHITE FINISH,2,4.95,17850,United Kingdom,2010,12,1,9,9.9
2010-12-01 09:02:00,536373,82486,WOOD S/3 CABINET ANT WHITE FINISH,4,6.95,17850,United Kingdom,2010,12,1,9,27.8
2010-12-01 09:02:00,536373,82482,WOODEN PICTURE FRAME WHITE FINISH,6,2.1,17850,United Kingdom,2010,12,1,9,12.6
2010-12-01 09:02:00,536373,82494L,WOODEN FRAME ANTIQUE WHITE ,6,2.55,17850,United Kingdom,2010,12,1,9,15.3
2010-12-01 09:02:00,536373,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,3.39,17850,United Kingdom,2010,12,1,9,20.34
2010-12-01 09:02:00,536373,84029E,RED WOOLLY HOTTIE WHITE HEART.,6,3.39,17850,United Kingdom,2010,12,1,9,20.34
2010-12-01 09:02:00,536373,22752,SET 7 BABUSHKA NESTING BOXES,2,7.65,17850,United Kingdom,2010,12,1,9,15.3
2010-12-01 09:02:00,536373,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,4.25,17850,United Kingdom,2010,12,1,9,25.5
2010-12-01 09:09:00,536374,21258,VICTORIAN SEWING BOX LARGE,32,10.95,15100,United Kingdom,2010,12,1,9,350.4
2010-12-01 09:32:00,536375,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2.55,17850,United Kingdom,2010,12,1,9,15.3
2010-12-01 09:32:00,536375,71053,WHITE METAL LANTERN,6,3.39,17850,United Kingdom,2010,12,1,9,20.34
2010-12-01 09:32:00,536375,84406B,CREAM CUPID HEARTS COAT HANGER,8,2.75,17850,United Kingdom,2010,12,1,9,22.0
2010-12-01 09:32:00,536375,20679,EDWARDIAN PARASOL RED,6,4.95,17850,United Kingdom,2010,12,1,9,29.7
2010-12-01 09:32:00,536375,37370,RETRO COFFEE MUGS ASSORTED,6,1.06,17850,United Kingdom,2010,12,1,9,6.36
2010-12-01 09:32:00,536375,21871,SAVE THE PLANET MUG,6,1.06,17850,United Kingdom,2010,12,1,9,6.36
2010-12-01 09:32:00,536375,21071,VINTAGE BILLBOARD DRINK ME MUG,6,1.06,17850,United Kingdom,2010,12,1,9,6.36
2010-12-01 09:32:00,536375,21068,VINTAGE BILLBOARD LOVE/HATE MUG,6,1.06,17850,United Kingdom,2010,12,1,9,6.36
2010-12-01 09:32:00,536375,82483,WOOD 2 DRAWER CABINET WHITE FINISH,2,4.95,17850,United Kingdom,2010,12,1,9,9.9
2010-12-01 09:32:00,536375,82486,WOOD S/3 CABINET ANT WHITE FINISH,4,6.95,17850,United Kingdom,2010,12,1,9,27.8
2010-12-01 09:32:00,536375,82482,WOODEN PICTURE FRAME WHITE FINISH,6,2.1,17850,United Kingdom,2010,12,1,9,12.6
2010-12-01 09:32:00,536375,82494L,WOODEN FRAME ANTIQUE WHITE ,6,2.55,17850,United Kingdom,2010,12,1,9,15.3
2010-12-01 09:32:00,536375,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,3.39,17850,United Kingdom,2010,12,1,9,20.34
2010-12-01 09:32:00,536375,84029E,RED WOOLLY HOTTIE WHITE HEART.,6,3.39,17850,United Kingdom,2010,12,1,9,20.34
2010-12-01 09:32:00,536375,22752,SET 7 BABUSHKA NESTING BOXES,2,7.65,17850,United Kingdom,2010,12,1,9,15.3
2010-12-01 09:32:00,536375,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,4.25,17850,United Kingdom,2010,12,1,9,25.5
2010-12-01 09:32:00,536376,22114,HOT WATER BOTTLE TEA AND SYMPATHY,48,3.45,15291,United Kingdom,2010,12,1,9,165.6
2010-12-01 09:32:00,536376,21733,RED HANGING HEART T-LIGHT HOLDER,64,2.55,15291,United Kingdom,2010,12,1,9,163.2
2010-12-01 09:34:00,536377,22632,HAND WARMER RED POLKA DOT,6,1.85,17850,United Kingdom,2010,12,1,9,11.1
2010-12-01 09:34:00,536377,22633,HAND WARMER UNION JACK,6,1.85,17850,United Kingdom,2010,12,1,9,11.1
2010-12-01 09:37:00,536378,22386,JUMBO BAG PINK POLKADOT,10,1.95,14688,United Kingdom,2010,12,1,9,19.5
2010-12-01 09:37:00,536378,85099C,JUMBO  BAG BAROQUE BLACK WHITE,10,1.95,14688,United Kingdom,2010,12,1,9,19.5
2010-12-01 09:37:00,536378,21033,JUMBO BAG CHARLIE AND LOLA TOYS,10,2.95,14688,United Kingdom,2010,12,1,9,29.5
2010-12-01 09:37:00,536378,20723,STRAWBERRY CHARLOTTE BAG,10,0.85,14688,United Kingdom,2010,12,1,9,8.5
2010-12-01 09:37:00,536378,84997B,RED 3 PIECE RETROSPOT CUTLERY SET,12,3.75,14688,United Kingdom,2010,12,1,9,45.0
2010-12-01 09:37:00,536378,84997C,BLUE 3 PIECE POLKADOT CUTLERY SET,6,3.75,14688,United Kingdom,2010,12,1,9,22.5
2010-12-01 09:37:00,536378,21094,SET/6 RED SPOTTY PAPER PLATES,12,0.85,14688,United Kingdom,2010,12,1,9,10.2
2010-12-01 09:37:00,536378,20725,LUNCH BAG RED RETROSPOT,10,1.65,14688,United Kingdom,2010,12,1,9,16.5
2010-12-01 09:37:00,536378,21559,STRAWBERRY LUNCH BOX WITH CUTLERY,6,2.55,14688,United Kingdom,2010,12,1,9,15.3
2010-12-01 09:37:00,536378,22352,LUNCH BOX WITH CUTLERY RETROSPOT ,6,2.55,14688,United Kingdom,2010,12,1,9,15.3
2010-12-01 09:37:00,536378,21212,PACK OF 72 RETROSPOT CAKE CASES,120,0.42,14688,United Kingdom,2010,12,1,9,50.4
2010-12-01 09:37:00,536378,21975,PACK OF 60 DINOSAUR CAKE CASES,24,0.55,14688,United Kingdom,2010,12,1,9,13.2
2010-12-01 09:37:00,536378,21977,PACK OF 60 PINK PAISLEY CAKE CASES,24,0.55,14688,United Kingdom,2010,12,1,9,13.2
2010-12-01 09:37:00,536378,84991,60 TEATIME FAIRY CAKE CASES,24,0.55,14688,United Kingdom,2010,12,1,9,13.2
2010-12-01 09:37:00,536378,84519A,TOMATO CHARLIE+LOLA COASTER SET,6,2.95,14688,United Kingdom,2010,12,1,9,17.7
2010-12-01 09:37:00,536378,85183B,CHARLIE & LOLA WASTEPAPER BIN FLORA,48,1.25,14688,United Kingdom,2010,12,1,9,60.0
2010-12-01 09:37:00,536378,85071B,RED CHARLIE+LOLA PERSONAL DOORSIGN,96,0.38,14688,United Kingdom,2010,12,1,9,36.48
2010-12-01 09:37:00,536378,21931,JUMBO STORAGE BAG SUKI,10,1.95,14688,United Kingdom,2010,12,1,9,19.5
2010-12-01 09:37:00,536378,21929,JUMBO BAG PINK VINTAGE PAISLEY,10,1.95,14688,United Kingdom,2010,12,1,9,19.5
2010-12-01 09:41:00,536380,22961,JAM MAKING SET PRINTED,24,1.45,17809,United Kingdom,2010,12,1,9,34.8
2010-12-01 09:41:00,536381,22139,RETROSPOT TEA SET CERAMIC 11 PC ,23,4.25,15311,United Kingdom,2010,12,1,9,97.75
2010-12-01 09:41:00,536381,84854,GIRLY PINK TOOL SET,5,4.95,15311,United Kingdom,2010,12,1,9,24.75
2010-12-01 09:41:00,536381,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,10,1.95,15311,United Kingdom,2010,12,1,9,19.5
2010-12-01 09:41:00,536381,82567,"AIRLINE LOUNGE,METAL SIGN",2,2.1,15311,United Kingdom,2010,12,1,9,4.2
2010-12-01 09:41:00,536381,21672,WHITE SPOT RED CERAMIC DRAWER KNOB,6,1.25,15311,United Kingdom,2010,12,1,9,7.5
2010-12-01 09:41:00,536381,22774,RED DRAWER KNOB ACRYLIC EDWARDIAN,24,1.25,15311,United Kingdom,2010,12,1,9,30.0
2010-12-01 09:41:00,536381,22771,CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,24,1.25,15311,United Kingdom,2010,12,1,9,30.0
2010-12-01 09:41:00,536381,71270,PHOTO CLIP LINE,1,1.25,15311,United Kingdom,2010,12,1,9,1.25
2010-12-01 09:41:00,536381,22262,FELT EGG COSY CHICKEN,1,0.85,15311,United Kingdom,2010,12,1,9,0.85
2010-12-01 09:41:00,536381,22637,PIGGY BANK RETROSPOT ,1,2.55,15311,United Kingdom,2010,12,1,9,2.55
2010-12-01 09:41:00,536381,21934,SKULL SHOULDER BAG,10,1.65,15311,United Kingdom,2010,12,1,9,16.5
2010-12-01 09:41:00,536381,21169,YOU'RE CONFUSING ME METAL SIGN ,3,1.69,15311,United Kingdom,2010,12,1,9,5.07
2010-12-01 09:41:00,536381,21166,COOK WITH WINE METAL SIGN ,1,1.95,15311,United Kingdom,2010,12,1,9,1.95
2010-12-01 09:41:00,536381,21175,GIN + TONIC DIET METAL SIGN,2,2.1,15311,United Kingdom,2010,12,1,9,4.2
